Date,Open,High,Low,Close,Adj Close,Volume,RSI,CCI,Williams_R,Ultimate_Oscillator,MFI,ADX,Bollinger_Band_Percent,Buy_Signal,Sell_Signal,Buy_Exit,Sell_Exit,Signal,Market_Return,Strategy_Return,Cumulative_Return
2000-01-03,11501.849609375,11522.009765625,11305.6904296875,11357.509765625,11357.509765625,169750000,,,,,,,,0,0,0,0,0,,,
2000-01-04,11349.75,11350.0595703125,10986.4501953125,10997.9296875,10997.9296875,178420000,,,,,,,,0,0,0,0,0,-0.03217213363303454,-0.0,0.0
2000-01-05,10989.3701171875,11215.099609375,10938.669921875,11122.650390625,11122.650390625,203190000,,,,,,,,0,0,0,0,0,0.011276560046238136,0.0,0.0
2000-01-06,11113.3701171875,11313.4501953125,11098.4501953125,11253.259765625,11253.259765625,176550000,,,,,,,,0,0,0,0,0,0.011674238719869164,0.0,0.0
2000-01-07,11247.0595703125,11528.1396484375,11239.919921875,11522.5595703125,11522.5595703125,184900000,,,,,,,,0,0,0,0,0,0.023648971887853136,0.0,0.0
2000-01-10,11532.48046875,11638.2802734375,11532.48046875,11572.2001953125,11572.2001953125,168180000,,,,,,,,0,0,0,0,0,0.00429887142811052,0.0,0.0
2000-01-11,11568.4697265625,11663.099609375,11502.7001953125,11511.080078125,11511.080078125,177300000,,,,,,,,0,0,0,0,0,-0.005295630369653878,-0.0,0.0
2000-01-12,11506.73046875,11612.5302734375,11505.1796875,11551.099609375,11551.099609375,194060000,,,,,,,,0,0,0,0,0,0.003470580141307567,0.0,0.0
2000-01-13,11558.240234375,11656.580078125,11524.1103515625,11582.4296875,11582.4296875,174910000,,,,,,,,0,0,0,0,0,0.002708630998567966,0.0,0.0
2000-01-14,11619.349609375,11750.2802734375,11612.5302734375,11722.98046875,11722.98046875,266830000,,,,,,,,0,0,0,0,0,0.012061790316238882,0.0,0.0
2000-01-18,11719.1904296875,11720.1201171875,11546.4501953125,11560.7197265625,11560.7197265625,200220000,,,,,,,,0,0,0,0,0,-0.013937936636447818,-0.0,0.0
2000-01-19,11535.240234375,11574.6796875,11456.009765625,11489.3603515625,11489.3603515625,193090000,,,,,,,,0,0,0,0,0,-0.006191701090349376,-0.0,0.0
2000-01-20,11490.2900390625,11558.7001953125,11274.98046875,11351.2998046875,11351.2998046875,191230000,,,,,,,,0,0,0,0,0,-0.012089162691810653,-0.0,0.0
2000-01-21,11356.259765625,11387.599609375,11232.48046875,11251.7099609375,11251.7099609375,205840000,,-60.61564083568411,-61.42976263673325,,,,,0,0,1,0,1,-0.008812143979349003,-0.0,0.0
2000-01-24,11251.9404296875,11366.5,10917.26953125,11008.169921875,11008.169921875,202740000,40.910569254427024,-116.66022454813768,-89.08772888254789,,36.07593310470212,,,0,0,1,0,1,-0.02188239633921216,-0.02188239633921216,-2.1882396339212162
2000-01-25,11010.9599609375,11079.51953125,10883.4501953125,11029.8896484375,11029.8896484375,209230000,41.62114950874375,-143.40149567310056,-83.10632535481966,,35.7092292431001,,,0,0,1,0,1,0.00197111125192027,0.00197111125192027,-1.991128508729189
2000-01-26,11025.849609375,11131.0302734375,11002.580078125,11032.990234375,11032.990234375,188840000,41.72887805812495,-119.9945639777517,-82.74863288247182,,42.5974301019966,,,0,0,1,0,1,0.0002810681084592485,0.0002810681084592485,-1.9630216978832642
2000-01-27,11035.5498046875,11164.1396484375,10915.400390625,11028.01953125,11028.01953125,194280000,41.59635565838067,-112.4843371276219,-83.32206742869245,,36.05291971098683,,,0,0,1,0,1,-0.00045063242906145403,-0.00045063242906145403,-2.0080849407894097
2000-01-28,11024.919921875,11024.919921875,10735.76953125,10738.8701171875,10738.8701171875,183090000,34.694015929853464,-136.1415321537077,-99.69437623392588,,29.429825687665183,,,0,0,1,0,1,-0.026569383914928878,-0.026569383914928878,-4.665023332282297
